Trial,TraderTypes,TotalProfit
trial0102,MarketMaker,3997.0
trial0102,ZIC,826.0
trial0103,MarketMaker,4381.0
trial0103,ZIC,545.0
trial0104,MarketMaker,3007.0
trial0104,ZIC,851.0
trial0105,MarketMaker,2987.0
trial0105,ZIC,631.0
trial0106,MarketMaker,2589.0
trial0106,ZIC,801.0
trial0107,MarketMaker,2260.0
trial0107,ZIC,676.0
trial0108,MarketMaker,2637.0
trial0108,ZIC,1223.0
trial0109,MarketMaker,2625.0
trial0109,ZIC,1170.0
trial0110,MarketMaker,2620.0
trial0110,ZIC,856.0
trial0111,MarketMaker,2714.0
trial0111,ZIC,871.0
trial0112,MarketMaker,2259.0
trial0112,ZIC,1071.0
trial0113,MarketMaker,2200.0
trial0113,ZIC,1299.0
trial0114,MarketMaker,2353.0
trial0114,ZIC,948.0
trial0115,MarketMaker,2529.0
trial0115,ZIC,915.0
trial0116,MarketMaker,3392.0
trial0116,ZIC,1161.0
trial0117,MarketMaker,2824.0
trial0117,ZIC,816.0
trial0118,MarketMaker,2097.0
trial0118,ZIC,999.0
trial0119,MarketMaker,2369.0
trial0119,ZIC,923.0
trial0120,MarketMaker,2633.0
trial0120,ZIC,633.0
trial0121,MarketMaker,2422.0
trial0121,ZIC,1332.0
trial0122,MarketMaker,2468.0
trial0122,ZIC,753.0
trial0123,MarketMaker,2577.0
trial0123,ZIC,1185.0
trial0124,MarketMaker,3024.0
trial0124,ZIC,1250.0
trial0125,MarketMaker,3292.0
trial0125,ZIC,579.0
trial0126,MarketMaker,2815.0
trial0126,ZIC,957.0
trial0127,MarketMaker,2892.0
trial0127,ZIC,946.0
trial0128,MarketMaker,2730.0
trial0128,ZIC,597.0
trial0129,MarketMaker,2265.0
trial0129,ZIC,1176.0
trial0130,MarketMaker,2317.0
trial0130,ZIC,1127.0
trial0131,MarketMaker,3459.0
trial0131,ZIC,1014.0
trial0132,MarketMaker,2448.0
trial0132,ZIC,714.0
trial0133,MarketMaker,3005.0
trial0133,ZIC,841.0
trial0134,MarketMaker,3038.0
trial0134,ZIC,770.0
trial0135,MarketMaker,3286.0
trial0135,ZIC,725.0
trial0136,MarketMaker,2475.0
trial0136,ZIC,657.0
trial0137,MarketMaker,3001.0
trial0137,ZIC,754.0
trial0138,MarketMaker,3562.0
trial0138,ZIC,592.0
trial0139,MarketMaker,3111.0
trial0139,ZIC,734.0
trial0140,MarketMaker,2287.0
trial0140,ZIC,773.0
trial0141,MarketMaker,3086.0
trial0141,ZIC,1052.0
trial0142,MarketMaker,3521.0
trial0142,ZIC,789.0
trial0143,MarketMaker,2877.0
trial0143,ZIC,803.0
trial0144,MarketMaker,2996.0
trial0144,ZIC,1022.0
trial0145,MarketMaker,2364.0
trial0145,ZIC,810.0
trial0146,MarketMaker,2923.0
trial0146,ZIC,1030.0
trial0147,MarketMaker,2698.0
trial0147,ZIC,1006.0
trial0148,MarketMaker,3141.0
trial0148,ZIC,1018.0
trial0149,MarketMaker,2847.0
trial0149,ZIC,526.0
trial0150,MarketMaker,3086.0
trial0150,ZIC,1008.0
trial0151,MarketMaker,3354.0
trial0151,ZIC,788.0
trial0152,MarketMaker,2787.0
trial0152,ZIC,999.0
trial0153,MarketMaker,3186.0
trial0153,ZIC,703.0
trial0154,MarketMaker,2137.0
trial0154,ZIC,923.0
trial0155,MarketMaker,3354.0
trial0155,ZIC,875.0
trial0156,MarketMaker,2707.0
trial0156,ZIC,740.0
trial0157,MarketMaker,2424.0
trial0157,ZIC,537.0
trial0158,MarketMaker,2222.0
trial0158,ZIC,812.0
trial0159,MarketMaker,2950.0
trial0159,ZIC,1004.0
trial0160,MarketMaker,2267.0
trial0160,ZIC,1240.0
trial0161,MarketMaker,2439.0
trial0161,ZIC,1066.0
trial0162,MarketMaker,2715.0
trial0162,ZIC,817.0
trial0163,MarketMaker,3430.0
trial0163,ZIC,947.0
trial0164,MarketMaker,3292.0
trial0164,ZIC,1275.0
trial0165,MarketMaker,3571.0
trial0165,ZIC,838.0
trial0166,MarketMaker,2816.0
trial0166,ZIC,961.0
trial0167,MarketMaker,2521.0
trial0167,ZIC,679.0
trial0168,MarketMaker,2389.0
trial0168,ZIC,1285.0
trial0169,MarketMaker,2914.0
trial0169,ZIC,1052.0
trial0170,MarketMaker,2308.0
trial0170,ZIC,744.0
trial0171,MarketMaker,2616.0
trial0171,ZIC,670.0
trial0172,MarketMaker,2661.0
trial0172,ZIC,649.0
trial0173,MarketMaker,3213.0
trial0173,ZIC,331.0
trial0174,MarketMaker,2563.0
trial0174,ZIC,1013.0
trial0175,MarketMaker,2552.0
trial0175,ZIC,981.0
trial0176,MarketMaker,2906.0
trial0176,ZIC,1242.0
trial0177,MarketMaker,3269.0
trial0177,ZIC,561.0
trial0178,MarketMaker,2496.0
trial0178,ZIC,656.0
trial0179,MarketMaker,2490.0
trial0179,ZIC,944.0
trial0180,MarketMaker,2399.0
trial0180,ZIC,966.0
trial0181,MarketMaker,3400.0
trial0181,ZIC,414.0
trial0182,MarketMaker,2200.0
trial0182,ZIC,629.0
trial0183,MarketMaker,3101.0
trial0183,ZIC,850.0
trial0184,MarketMaker,2720.0
trial0184,ZIC,682.0
trial0185,MarketMaker,2838.0
trial0185,ZIC,1112.0
trial0186,MarketMaker,2650.0
trial0186,ZIC,946.0
trial0187,MarketMaker,2364.0
trial0187,ZIC,640.0
trial0188,MarketMaker,2756.0
trial0188,ZIC,536.0
trial0189,MarketMaker,2574.0
trial0189,ZIC,941.0
trial0190,MarketMaker,3403.0
trial0190,ZIC,838.0
trial0191,MarketMaker,2738.0
trial0191,ZIC,597.0
trial0192,MarketMaker,2628.0
trial0192,ZIC,959.0
trial0193,MarketMaker,3480.0
trial0193,ZIC,222.0
trial0194,MarketMaker,2363.0
trial0194,ZIC,1263.0
trial0195,MarketMaker,2912.0
trial0195,ZIC,993.0
trial0196,MarketMaker,2387.0
trial0196,ZIC,1443.0
trial0197,MarketMaker,2267.0
trial0197,ZIC,1379.0
trial0198,MarketMaker,3683.0
trial0198,ZIC,554.0
trial0199,MarketMaker,2391.0
trial0199,ZIC,684.0
trial0200,MarketMaker,3433.0
trial0200,ZIC,462.0
trial0201,MarketMaker,3271.0
trial0201,ZIC,461.0
trial0202,MarketMaker,2191.0
trial0202,ZIC,910.0
trial0203,MarketMaker,2270.0
trial0203,ZIC,831.0
trial0204,MarketMaker,3438.0
trial0204,ZIC,859.0
trial0205,MarketMaker,3363.0
trial0205,ZIC,964.0
trial0206,MarketMaker,1950.0
trial0206,ZIC,999.0
trial0207,MarketMaker,2116.0
trial0207,ZIC,576.0
trial0208,MarketMaker,3528.0
trial0208,ZIC,617.0
trial0209,MarketMaker,3267.0
trial0209,ZIC,860.0
trial0210,MarketMaker,2976.0
trial0210,ZIC,547.0
